"","block","s_1","s_2","plot","trt","y"
"1",7,2,1,1,51,131.284
"2",7,2,2,2,19,134.979
"3",7,2,3,3,35,123.953
"4",7,2,4,4,59,109.867
"5",7,2,5,5,27,132.5
"6",7,2,6,6,11,119.891
"7",7,2,7,7,3,120.777
"8",7,2,8,8,43,121.146
"9",1,2,9,9,49,126.611
"10",1,2,10,10,17,142.911
"11",1,2,11,11,33,108.112
"12",1,4,11,12,57,103.322
"13",1,4,10,13,25,144.76
"14",1,4,9,14,9,137.582
"15",1,4,8,15,1,117.614
"16",1,4,7,16,41,134.259
"17",22,4,6,17,56,118.215
"18",22,4,5,18,24,120.015
"19",22,4,4,19,40,135.844
"20",22,4,3,20,64,131.217
"21",22,4,2,21,32,132.152
"22",22,4,1,22,16,113.912
"23",22,6,1,23,8,140.684
"24",22,6,2,24,48,126.5
"25",4,6,3,25,50,112.379
"26",4,6,4,26,18,116.481
"27",4,6,5,27,34,97.361
"28",4,6,6,28,58,111.632
"29",4,6,7,29,26,122.544
"30",4,6,8,30,10,87.422
"31",4,6,9,31,2,121.739
"32",4,6,10,32,42,140.506
"33",16,6,11,33,54,152.194
"34",16,8,11,34,22,146.21
"35",16,8,10,35,38,145.05
"36",16,8,9,36,62,122.47
"37",16,8,8,37,30,133.925
"38",16,8,7,38,14,129.599
"39",16,8,6,39,6,116.513
"40",16,8,5,40,46,119.13
"41",13,8,4,41,53,139.38
"42",13,8,3,42,21,133.972
"43",13,8,2,43,37,123.1
"44",13,8,1,44,61,128.705
"45",13,10,1,45,29,109.801
"46",13,10,2,46,13,124.135
"47",13,10,3,47,5,141.006
"48",13,10,4,48,45,152.054
"49",19,10,5,49,55,117.474
"50",19,10,6,50,23,112.597
"51",19,10,7,51,39,107.072
"52",19,10,8,52,63,103.936
"53",19,10,9,53,31,96.427
"54",19,10,10,54,15,147.305
"55",19,10,11,55,7,136.177
"56",19,12,11,56,47,126.256
"57",10,12,10,57,52,128.516
"58",10,12,9,58,20,136.16
"59",10,12,8,59,36,118.567
"60",10,12,7,60,60,137.108
"61",10,12,6,61,28,111.836
"62",10,12,5,62,12,97.698
"63",10,12,4,63,4,131.67
"64",10,12,3,64,44,115.639
"65",14,12,2,65,63,121.701
"66",14,12,1,66,24,114.223
"67",14,14,1,67,50,110.037
"68",14,14,2,68,43,111.781
"69",14,14,3,69,9,136.894
"70",14,14,4,70,28,121.882
"71",14,14,5,71,5,141.009
"72",14,14,6,72,38,110.963
"73",5,14,7,73,35,107.322
"74",5,14,8,74,53,118.915
"75",5,14,9,75,17,125.4
"76",5,14,10,76,31,116.261
"77",5,14,11,77,2,139.054
"78",5,16,11,78,46,139.154
"79",5,16,10,79,16,112.322
"80",5,16,9,80,60,104.288
"81",11,16,8,81,4,83.043
"82",11,16,7,82,41,104.653
"83",11,16,6,83,29,88.62
"84",11,16,5,84,22,116.876
"85",11,16,4,85,40,116.643
"86",11,16,3,86,55,138.581
"87",11,16,2,87,58,118.351
"88",11,16,1,88,11,110.632
"89",2,18,1,89,56,123.648
"90",2,18,2,90,39,117.591
"91",2,18,3,91,62,117.591
"92",2,18,4,92,13,97.794
"93",2,18,5,93,44,96.352
"94",2,18,6,94,1,96.686
"95",2,18,7,95,27,101.037
"96",2,18,8,96,18,82.852
"97",17,18,9,97,42,111.985
"98",17,18,10,98,6,108.941
"99",17,18,11,99,15,132.198
"100",17,20,11,100,57,94.387
"101",17,20,10,101,51,123.562
"102",17,20,9,102,37,98.902
"103",17,20,8,103,20,99.308
"104",17,20,7,104,32,112.682
"105",8,20,6,105,25,116.833
"106",8,20,5,106,12,107.584
"107",8,20,4,107,3,88.982
"108",8,20,3,108,34,100.166
"109",8,20,2,109,23,115.406
"110",8,20,1,110,64,113.721
"111",8,22,1,111,54,130.012
"112",8,22,2,112,45,135.528
"113",23,22,3,113,21,99.129
"114",23,22,4,114,59,96.539
"115",23,22,5,115,36,113.517
"116",23,22,6,116,8,119.466
"117",23,22,7,117,30,121.542
"118",23,22,8,118,10,66.884
"119",23,22,9,119,47,88.496
"120",23,22,10,120,49,119.818
"121",20,22,11,121,14,129.599
"122",20,24,11,122,26,126.715
"123",20,24,10,123,48,122.985
"124",20,24,9,124,52,112.902
"125",20,24,8,125,61,101.883
"126",20,24,7,126,19,106.199
"127",20,24,6,127,33,77.529
"128",20,24,5,128,7,102.229
"129",3,24,4,129,53,106.217
"130",3,24,3,130,20,123.705
"131",3,24,2,131,63,117.82
"132",3,24,1,132,11,116.293
"133",3,26,1,133,1,115.619
"134",3,26,2,134,30,132.46
"135",3,26,3,135,48,119.983
"136",3,26,4,136,34,94.222
"137",6,26,5,137,22,106.85
"138",6,26,6,138,56,98.074
"139",6,26,7,139,33,80.063
"140",6,26,8,140,2,90.568
"141",6,26,9,141,15,109.256
"142",6,26,10,142,45,120.858
"143",6,26,11,143,28,122.272
"144",6,28,11,144,59,109.129
"145",15,28,10,145,42,124.478
"146",15,28,9,146,31,92.658
"147",15,28,8,147,12,68.809
"148",15,28,7,148,62,106.246
"149",15,28,6,149,40,96.462
"150",15,28,5,150,19,99.767
"151",15,28,4,151,49,87.641
"152",15,28,3,152,5,133.427
